distribution,namespace,exported_symbol,owning_module,object_kind,source_module,is_reexport
zeromodel-video,zeromodel.video,TemporalEvidence,zeromodel.video,Class,zeromodel.video.video_policy,true
zeromodel-video,zeromodel.video,VIDEO_CLIP_MANIFEST_VERSION,zeromodel.video,Constant,zeromodel.video,false
zeromodel-video,zeromodel.video,VIDEO_FRAME_SOURCE_VERSION,zeromodel.video,Constant,zeromodel.video,false
zeromodel-video,zeromodel.video,VIDEO_FRAME_VERSION,zeromodel.video,Constant,zeromodel.video,false
zeromodel-video,zeromodel.video,VIDEO_POLICY_DECISION_VERSION,zeromodel.video,Constant,zeromodel.video,false
zeromodel-video,zeromodel.video,VIDEO_POLICY_TRACE_VERSION,zeromodel.video,Constant,zeromodel.video,false
zeromodel-video,zeromodel.video,VIDEO_TEMPORAL_EVIDENCE_VERSION,zeromodel.video,Constant,zeromodel.video,false
zeromodel-video,zeromodel.video,VideoActionSetFacade,zeromodel.video,Class,zeromodel.video.domains.video_action_set.facade,true
zeromodel-video,zeromodel.video,VideoActionSetStore,zeromodel.video,Class,zeromodel.video.domains.video_action_set.store,true
zeromodel-video,zeromodel.video,VideoClipManifest,zeromodel.video,Class,zeromodel.video.video,true
zeromodel-video,zeromodel.video,VideoFrame,zeromodel.video,Class,zeromodel.video.video,true
zeromodel-video,zeromodel.video,VideoFrameSource,zeromodel.video,Class,zeromodel.video.video,true
zeromodel-video,zeromodel.video,VideoPolicyDecision,zeromodel.video,Class,zeromodel.video.video_policy,true
zeromodel-video,zeromodel.video,VideoPolicyReader,zeromodel.video,Class,zeromodel.video.video_policy,true
zeromodel-video,zeromodel.video,VideoPolicyTrace,zeromodel.video,Class,zeromodel.video.video_policy,true
zeromodel-video,zeromodel.video,ZeroModelRuntime,zeromodel.video,Class,zeromodel.video.runtime,true
zeromodel-video,zeromodel.video,build_runtime,zeromodel.video,Function,zeromodel.video.runtime,true
zeromodel-vision,zeromodel.vision,DISTANCE_METRIC,zeromodel.vision,Constant,zeromodel.vision,false
zeromodel-vision,zeromodel.vision,DeterministicVisualAddressProvider,zeromodel.vision,Class,zeromodel.vision.visual_policy,true
zeromodel-vision,zeromodel.vision,MARGIN_RULE,zeromodel.vision,Constant,zeromodel.vision,false
zeromodel-vision,zeromodel.vision,VISUAL_FEATURE_VERSION,zeromodel.vision,Constant,zeromodel.vision,false
zeromodel-vision,zeromodel.vision,VISUAL_INDEX_VERSION,zeromodel.vision,Constant,zeromodel.vision,false
zeromodel-vision,zeromodel.vision,VISUAL_POLICY_DECISION_VERSION,zeromodel.vision,Constant,zeromodel.vision,false
zeromodel-vision,zeromodel.vision,VISUAL_READER_VERSION,zeromodel.vision,Constant,zeromodel.vision,false
zeromodel-vision,zeromodel.vision,VisualDecision,zeromodel.vision,Class,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,VisualFeatureSpec,zeromodel.vision,Class,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,VisualIndexBuild,zeromodel.vision,Class,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,VisualIndexCalibration,zeromodel.vision,Class,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,VisualPolicyDecision,zeromodel.vision,Class,zeromodel.vision.visual_policy,true
zeromodel-vision,zeromodel.vision,VisualPolicyReader,zeromodel.vision,Class,zeromodel.vision.visual_policy,true
zeromodel-vision,zeromodel.vision,VisualSignReader,zeromodel.vision,Class,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,build_visual_index,zeromodel.vision,Function,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,extract_visual_features,zeromodel.vision,Function,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,visual_feature_digest,zeromodel.vision,Function,zeromodel.vision.visual,true
zeromodel-vision,zeromodel.vision,visual_input_digest,zeromodel.vision,Function,zeromodel.vision.visual,true
